Entidad,Num_Ent,Municipio,Num_Mun,lat,lon,area
Yucatán,31,Abalá,1,20.647578,-89.680886,301.45
Yucatán,31,Acanceh,2,20.812422,-89.453547,153.29
Yucatán,31,Akil,3,20.267053,-89.346826,48.54
Yucatán,31,Baca,4,21.109548,-89.399382,118.78
Yucatán,31,Bokobá,5,21.00694,-89.179525,48.54
Yucatán,31,Buctzotz,6,21.201897,-88.794462,543.45
Yucatán,31,Cacalchén,7,20.983099,-89.22818,76.64
Yucatán,31,Calotmul,8,21.019289,-88.177046,361.5
Yucatán,31,Cansahcab,9,21.158103,-89.102341,146.9
Yucatán,31,Cantamayec,10,20.470556,-89.080944,502.02
Yucatán,31,Celestún,11,20.860092,-90.399464,868.63
Yucatán,31,Cenotillo,12,20.965772,-88.60442,544.03
Yucatán,31,Conkal,13,21.073894,-89.521284,57.48
Yucatán,31,Cuncunul,14,20.641163,-88.296631,315.52
Yucatán,31,Cuzamá,15,20.741484,-89.316961,150.73
Yucatán,31,Chacsinkín,16,20.172601,-89.016409,158.4
Yucatán,31,Chankom,17,20.568583,-88.512346,137.9
Yucatán,31,Chapab,18,20.458751,-89.456552,168.62
Yucatán,31,Chemax,19,20.655016,-87.937328,1948.34
Yucatán,31,Chicxulub Pueblo,20,21.137289,-89.515076,197
Yucatán,31,Chichimilá,21,20.63127,-88.217397,358.59
Yucatán,31,Chikindzonot,22,20.333655,-88.486486,352.56
Yucatán,31,Chocholá,23,20.750231,-89.830699,99.64
Yucatán,31,Chumayel,24,20.429535,-89.302519,45.99
Yucatán,31,Dzan,25,20.387764,-89.468871,61.31
Yucatán,31,Dzemul,26,21.211503,-89.308814,123.21
Yucatán,31,Dzidzantún,27,21.246678,-89.042975,198
Yucatán,31,Dzilam de Bravo,28,21.393229,-88.89188,241.43
Yucatán,31,Dzilam González,29,21.280125,-88.929741,545
Yucatán,31,Dzitás,30,20.839866,-88.527822,456.03
Yucatán,31,Dzoncauich,31,21.129164,-88.890931,355
Yucatán,31,Espita,32,21.011053,-88.306823,737.3
Yucatán,31,Halachó,33,20.477746,-90.082229,671.91
Yucatán,31,Hocabá,34,20.81624,-89.245099,81.75
