mun,Pob_total,Viviendas,Pob_masculina,Pob_femenina
1,6356,1608,3254,3102
2,15337,3695,7599,7738
3,10362,2535,5104,5258
4,5701,1558,2819,2882
5,2053,579,1053,1000
6,8637,2368,4336,4301
7,6811,1780,3483,3328
8,4095,1088,2080,2015
9,4696,1285,2327,2369
10,2407,531,1255,1152
11,6831,1821,3493,3338
12,3701,1109,1765,1936
13,9143,2392,4584,4559
14,1595,343,815,780
15,4966,1246,2493,2473
16,2818,631,1417,1401
17,4464,1042,2276,2188
18,3035,777,1509,1526
19,33490,7115,16797,16693
20,4113,1071,2123,1990
21,7952,1651,3982,3970
22,4162,878,2103,2059
23,4530,1236,2318,2212
24,3148,743,1552,1596
25,4941,1085,2399,2542
26,3489,1008,1777,1712
27,8133,2288,4115,4018
28,2463,691,1262,1201
29,5905,1713,3027,2878
30,3540,843,1813,1727
31,2772,738,1401,1371
32,15571,3570,7928,7643
33,19072,4748,9609,9463
34,6061,1518,3033,3028
35,5697,1483,2816,2881
36,7257,1808,3688,3569
37,4841,1334,2471,2370
38,30731,7231,15330,15401
39,3803,925,1946,1857
40,25980,6592,12887,13093
41,78709,20314,39102,39607
42,5502,1422,2764,2738
43,2761,639,1419,1342
44,6571,1644,3301,3270
45,2449,660,1255,1194
46,2888,757,1366,1522
47,5250,1241,2560,2690
48,21704,5221,10860,10844
49,3269,756,1676,1593
50,830732,229705,401340,429392
51,3071,812,1548,1523
52,33978,8753,16817,17161
53,12336,3029,6061,6275
54,2755,735,1341,1414
55,6285,1585,3201,3084
56,29325,7026,13947,15378
57,7461,1986,3718,3743
58,24159,5600,12025,12134
59,53958,14476,26925,27033
60,942,257,470,472
61,3438,899,1749,1689
62,4589,1154,2368,2221
63,5008,1214,2532,2476
64,1619,417,813,806
65,1839,553,956,883
66,3833,942,1855,1978
67,9276,2312,4733,4543
68,3126,874,1622,1504
69,8449,2020,4336,4113
70,3930,1027,1994,1936
71,1689,451,890,799
72,1876,516,946,930
73,4447,861,2281,2166
74,3609,996,1841,1768
75,6205,1380,3071,3134
76,16200,3870,8160,8040
77,2606,707,1313,1293
78,3683,1011,1830,1853
79,40547,9609,19975,20572
80,9884,2280,4965,4919
81,3100,652,1553,1547
82,3557,1103,1803,1754
83,1726,498,906,820
84,6817,1706,3425,3392
85,14801,3506,7494,7307
86,2226,668,1141,1085
87,4725,1173,2313,2412
88,1977,546,972,1005
89,37685,9000,18593,19092
90,6833,1523,3496,3337
91,11421,2666,5788,5633
92,6665,1479,3362,3303
93,17176,4384,8500,8676
94,4746,1113,2411,2335
95,5388,1366,2660,2728
96,73138,17708,36468,36670
97,3464,951,1774,1690
98,14011,3253,7102,6909
99,3782,841,1944,1838
100,3469,912,1744,1725
101,50993,12751,25443,25550
102,74217,17479,36624,37593
103,3236,774,1660,1576
104,14802,3436,7646,7156
105,2868,764,1443,1425
106,2137,628,1103,1034
